NAME,geometry,STATE,STATE_GEOCODE,Avg_CC_Jan,Avg_CC_Feb,Avg_CC_Mar,Avg_CC_Apr,Avg_CC_May,Avg_CC_Jun,Avg_CC_Jul,Avg_CC_Aug,Avg_CC_Sep,Avg_CC_Oct,Avg_CC_Nov,Avg_CC_Dec,CC_Level_Jan,CC_Level_Feb,CC_Level_Mar,CC_Level_Apr,CC_Level_May,CC_Level_Jun,CC_Level_Jul,CC_Level_Aug,CC_Level_Sep,CC_Level_Oct,CC_Level_Nov,CC_Level_Dec,Avg_CC_Summer,CC_Level_Summer,Avg_CC_Autumn,CC_Level_Autumn,Avg_CC_Winter,CC_Level_Winter,Avg_CC_Spring,CC_Level_Spring,ProbCC_30_Jan,ProbCC_30_Feb,ProbCC_30_Mar,ProbCC_30_Apr,ProbCC_30_May,ProbCC_30_Jun,ProbCC_30_Jul,ProbCC_30_Aug,ProbCC_30_Sep,ProbCC_30_Oct,ProbCC_30_Nov,ProbCC_30_Dec
21MXR,"POLYGON Z ((-56.09957952199994 -3.618066685999963 0, -55.11118510499995 -3.616541317999975 0, -55.10884495499994 -4.609340839999959 0, -56.09846331899996 -4.611286498999959 0, -56.09957952199994 -3.618066685999963 0))",PA,15,66.04,81.01,74.25,80.5,65.4,23.46,14.6,22.42,27.58,50.19,55.55,77.16,6,8,7,8,6,2,1,2,2,5,5,7,74.66,7,73.97,7,19.69,1,45.2,4,10.34,3.85,3.03,3.33,12.5,70.97,87.18,66.67,72.0,29.17,32.26,11.76
21MXS,"POLYGON Z ((-56.10036002499999 -2.713837411999975 0, -55.11282145299998 -2.712693902999945 0, -55.11099860699994 -3.705514542999936 0, -56.09949056699998 -3.707077536999975 0, -56.10036002499999 -2.713837411999975 0))",PA,15,77.55,78.89,73.95,77.06,71.67,31.86,17.87,22.64,29.6,55.2,60.08,77.55,7,7,7,7,7,3,1,2,2,5,6,7,77.95,7,74.53,7,23.52,2,49.24,4,3.45,11.11,6.25,9.68,4.76,60.71,83.78,75.0,64.0,38.46,19.35,8.82
21MXT,"POLYGON Z ((-56.10091718399997 -1.809051652999926 0, -55.11398955499993 -1.80828969199996 0, -55.11268207199998 -2.801126258999943 0, -56.10029354399995 -2.80230710099994 0, -56.10091718399997 -1.809051652999926 0))",PA,15,73.73,73.8,77.47,67.22,65.03,31.52,29.65,21.37,40.92,45.92,48.84,72.02,7,7,7,6,6,3,2,2,4,4,4,7,73.02,7,70.58,7,27.15,2,45.79,4,7.14,15.38,5.56,5.88,25.0,61.54,75.0,73.33,45.45,38.46,41.18,10.0
21MXU,"POLYGON Z ((-56.10125115199997 -0.9042567319999648 0, -55.11468972999995 -0.9038759559999789 0, -55.11389599699999 -1.896723233999978 0, -56.10087255899998 -1.897522483999978 0, -56.10125115199997 -0.9042567319999648 0))",PA,15,66.22,71.27,74.14,67.7,63.65,35.5,31.39,15.17,26.07,32.45,47.19,70.95,6,7,7,6,6,3,3,1,2,3,4,7,69.54,6,69.29,6,27.97,2,37.14,3,7.69,9.09,5.88,7.69,18.18,58.33,72.73,80.0,62.5,55.56,46.15,5.88
21MXV,"POLYGON Z ((-56.10136233999998 5.684341886080801e-14 0, -55.11492283999996 5.684341886080801e-14 0, -55.11464157099994 -0.9928527609999378 0, -56.10122818099995 -0.9932710269999347 0, -56.10136233999998 5.684341886080801e-14 0))",PA,15,71.39,81.7,73.87,70.05,59.01,39.8,34.48,15.37,25.96,30.43,54.13,67.6,7,8,7,7,5,3,3,1,2,3,5,6,72.71,7,68.94,6,30.58,3,39.68,3,0.0,0.0,0.0,14.29,10.0,45.45,61.54,90.0,75.0,50.0,28.57,6.25
21MYM,"POLYGON Z ((-55.18898285999995 -7.233684263999976 0, -54.19520384099997 -7.228649589999975 0, -54.18864685499994 -8.220663876999936 0, -55.18474514599995 -8.226398125999935 0, -55.18898285999995 -7.233684263999976 0))",PA,15,74.77,67.08,66.89,68.7,40.78,5.11,9.12,22.12,41.0,47.84,75.89,65.7,7,6,6,6,4,0,0,2,4,4,7,6,69.23,6,60.88,6,12.4,1,55.98,5,0.0,28.57,18.75,6.25,45.45,100.0,85.0,73.33,45.45,28.57,14.29,13.33
21MYN,"POLYGON Z ((-55.19235760999993 -6.329352865999965 0, -54.20042559899997 -6.324952905999965 0, -54.19465494399998 -7.317011384999944 0, -55.18862811399998 -7.322108245999971 0, -55.19235760999993 -6.329352865999965 0))",PA,15,69.15,74.27,71.92,69.87,46.2,13.86,9.8,26.0,39.99,43.86,67.37,72.5,6,7,7,6,4,1,0,2,3,4,6,7,71.92,7,63.19,6,15.63,1,51.07,5,6.67,14.29,6.67,6.25,35.71,75.0,86.96,73.33,50.0,42.86,15.38,6.67
21MYP,"POLYGON Z ((-55.19527224699993 -5.425531019999937 0, -54.20493544599998 -5.421763287999966 0, -54.19994344299994 -6.413860514999953 0, -55.19204599999995 -6.418322819999958 0, -55.19527224699993 -5.425531019999937 0))",PA,15,62.59,82.28,70.47,69.2,52.86,19.21,3.27,29.66,49.42,50.22,68.31,77.05,6,8,7,6,5,1,0,2,4,5,6,7,73.51,7,65.64,6,13.49,1,57.55,5,7.14,0.0,6.67,0.0,33.33,72.73,100.0,50.0,20.0,12.5,0.0,9.09
21MYQ,"POLYGON Z ((-55.19773390599994 -4.521138360999942 0, -54.20874440999995 -4.518001438999931 0, -54.20452531399997 -5.510131986999966 0, -55.19500718699993 -5.513961491999964 0, -55.19773390599994 -4.521138360999942 0))",PA,15,69.21,82.65,69.78,66.64,57.48,14.62,18.13,29.37,50.36,60.96,70.92,77.89,6,8,6,6,5,1,1,2,5,6,7,7,76.76,7,65.15,6,20.66,2,61.55,6,7.14,0.0,6.25,8.33,33.33,81.82,77.27,64.29,18.18,21.43,7.14,6.67
21MYR,"POLYGON Z ((-55.19974375599998 -3.616722068999934 0, -54.21185429399998 -3.614214464999975 0, -54.20840287299995 -4.606372861999944 0, -55.19751317799995 -4.609571393999943 0, -55.19974375599998 -3.616722068999934 0))",PA,15,73.63,85.54,76.02,76.05,73.33,21.79,16.55,23.23,31.73,57.54,69.61,77.67,7,8,7,7,7,2,1,2,3,5,6,7,78.75,7,75.25,7,20.15,2,54.32,5,10.34,0.0,6.06,12.9,11.54,74.07,81.58,63.33,58.33,26.92,16.67,12.5
21MYS,"POLYGON Z ((-55.20130348599997 -2.712829405999969 0, -54.21426770399995 -2.710949551999931 0, -54.21157923299995 -3.703130293999948 0, -55.19956598999994 -3.705699752999976 0, -55.20130348599997 -2.712829405999969 0))",PA,15,71.43,76.7,76.36,75.13,73.04,29.48,15.05,18.63,25.41,54.51,62.57,78.14,7,7,7,7,7,2,1,1,2,5,6,7,75.5,7,75.16,7,20.33,2,48.64,4,10.34,7.69,2.78,6.06,10.0,61.54,80.56,78.57,69.23,29.63,18.75,12.12
21MYT,"POLYGON Z ((-55.20241689499994 -1.808379981999963 0, -54.21599051299995 -1.807127364999928 0, -54.21406213399996 -2.799324956999953 0, -55.20117063099997 -2.801266184999974 0, -55.20241689499994 -1.808379981999963 0))",PA,15,60.89,68.76,75.12,73.7,66.91,38.13,22.62,12.67,20.77,47.02,48.85,69.28,6,6,7,7,6,3,2,1,2,4,4,6,66.44,6,72.57,7,23.64,2,40.18,4,16.67,10.34,8.33,17.65,21.74,59.09,69.7,88.46,73.91,42.31,38.71,8.57
21MYU,"POLYGON Z ((-55.20308428499993 -0.9039210769999499 0, -54.21702318699994 -0.9032951039999375 0, -54.21585252599994 -1.89550402499998 0, -55.20232771699995 -1.896817942999974 0, -55.20308428499993 -0.9039210769999499 0))",PA,15,64.25,68.89,73.5,71.11,62.59,33.2,25.74,10.6,17.3,30.13,50.55,69.8,6,6,7,7,6,3,2,1,1,3,5,6,67.7,6,69.94,6,23.81,2,34.79,3,7.69,0.0,6.25,10.71,10.0,50.0,57.69,94.44,77.78,58.82,36.0,14.29
21MYV,"POLYGON Z ((-55.20330647999998 5.684341886080801e-14 0, -54.21736699599995 5.684341886080801e-14 0, -54.21695215799997 -0.9922147199999358 0, -55.20303838099994 -0.9929023239999424 0, -55.20330647999998 5.684341886080801e-14 0))",PA,15,74.23,84.6,80.53,83.85,69.69,50.05,34.24,26.71,26.98,27.94,61.28,71.83,7,8,8,8,6,5,3,2,2,2,6,7,76.73,7,79.14,7,36.68,3,41.51,4,0.0,0.0,0.0,3.7,5.56,22.22,64.0,50.0,57.89,68.42,14.81,7.14
21MZM,"POLYGON Z ((-54.28369026099995 -7.229185751999978 0, -53.29068465499995 -7.222184059999961 0, -53.28202351999994 -8.213299978999942 0, -54.27733950399994 -8.221274537999932 0, -54.28369026099995 -7.229185751999978 0))",PA,15,77.48,77.04,73.54,70.59,32.61,6.58,5.36,17.56,27.73,44.01,73.33,69.72,7,7,7,7,3,0,0,1,2,4,7,6,74.81,7,60.18,6,9.57,0,50.72,5,10.34,14.81,10.34,17.24,60.0,91.3,93.94,80.77,61.11,42.31,19.23,18.52
21MZN,"POLYGON Z ((-54.28874778199997 -6.325421474999928 0, -53.29758213699995 -6.31930245999996 0, -53.28995961299995 -7.310465995999948 0, -54.28315862699998 -7.317554168999948 0, -54.28874778199997 -6.325421474999928 0))",PA,15,74.98,79.16,77.51,77.51,38.53,14.18,5.58,24.92,29.79,47.71,71.78,72.74,7,7,7,7,3,1,0,2,2,4,7,7,75.54,7,66.58,6,13.52,1,52.08,5,6.9,7.41,6.9,10.0,56.52,80.0,92.11,68.0,64.71,46.15,16.0,17.24
21MZP,"POLYGON Z ((-54.29311578199997 -5.422164528999929 0, -53.30353928399995 -5.416924739999956 0, -53.29694524899998 -6.408130005999965 0, -54.28828079099998 -6.414335722999965 0, -54.29311578199997 -5.422164528999929 0))",PA,15,65.56,86.28,72.8,66.49,46.9,11.49,7.69,35.17,49.08,49.91,75.42,80.21,6,8,7,6,4,1,0,3,4,4,7,8,77.28,7,63.39,6,15.81,1,57.26,5,14.29,0.0,6.67,15.38,45.45,81.82,100.0,40.0,27.27,10.0,0.0,0.0
21MZQ,"POLYGON Z ((-54.29680494099995 -4.518335502999946 0, -53.30857064599996 -4.513972972999966 0, -53.30299753099996 -5.50521411099993 0, -54.29271854999996 -5.51053980699993 0, -54.29680494099995 -4.518335502999946 0))",PA,15,74.64,88.22,72.67,70.57,58.45,21.83,18.92,34.94,45.65,63.66,68.45,79.49,7,8,7,7,5,2,1,3,4,6,6,7,81.08,8,67.81,6,24.84,2,59.93,5,0.0,0.0,0.0,0.0,23.08,77.78,76.19,40.0,33.33,14.29,0.0,0.0
21MZR,"POLYGON Z ((-54.29981700799993 -3.614481509999962 0, -53.31267859499997 -3.61099416899998 0, -53.30811950099996 -4.602265276999958 0, -54.29647414699997 -4.606713486999979 0, -54.29981700799993 -3.614481509999962 0))",PA,15,80.43,81.65,74.28,71.64,68.89,39.83,20.56,44.42,35.62,64.72,72.87,83.47,8,8,7,7,6,3,2,4,3,6,7,8,81.86,8,72.0,7,32.37,3,58.71,5,7.14,0.0,0.0,6.67,10.0,44.44,71.43,40.0,63.64,14.29,8.33,7.14
21MZS,"POLYGON Z ((-54.30215450599997 -2.711149745999933 0, -53.31586655799998 -2.70853541799994 0, -53.31231525599998 -3.699830563999967 0, -54.29955059799994 -3.703403925999964 0, -54.30215450599997 -2.711149745999933 0))",PA,15,77.85,86.14,78.89,81.73,80.46,52.56,20.44,39.85,34.02,63.53,65.1,81.88,7,8,7,8,8,5,2,3,3,6,6,8,82.05,8,80.38,8,33.73,3,55.47,5,0.0,0.0,0.0,0.0,0.0,8.33,78.26,15.38,58.33,14.29,0.0,0.0
21MZT,"POLYGON Z ((-54.30382312599994 -1.807260761999942 0, -53.31814228699994 -1.805518735999954 0, -53.31559501299995 -2.796832004999942 0, -54.30195540299997 -2.799531686999956 0, -54.30382312599994 -1.807260761999942 0))",PA,15,71.28,78.77,74.1,77.25,81.41,51.93,28.49,22.76,33.81,59.42,61.51,73.15,7,7,7,7,8,5,2,2,3,5,6,7,74.52,7,77.17,7,34.51,3,53.85,5,6.67,0.0,0.0,5.56,0.0,21.43,68.42,72.73,70.0,21.43,25.0,0.0
21MZU,"POLYGON Z ((-54.30482331799993 -0.9033617669999785 0, -53.31950639099995 -0.9024912199999449 0, -53.31796001399994 -1.893816672999947 0, -54.30368947899996 -1.895643949999965 0, -54.30482331799993 -0.9033617669999785 0))",PA,15,70.76,74.73,66.86,75.28,70.87,43.91,38.19,8.46,24.82,37.25,50.9,70.52,7,7,6,7,7,4,3,0,2,3,5,7,72.18,7,70.8,7,33.65,3,38.91,3,7.69,6.67,13.33,7.69,0.0,27.27,35.71,100.0,70.0,55.56,23.08,8.33
21MZV,"POLYGON Z ((-54.30515631299994 5.684341886080801e-14 0, -53.31996054299998 5.684341886080801e-14 0, -53.31941256599998 -0.9913316879999456 0, -54.30475452299999 -0.9922879459999763 0, -54.30515631299994 5.684341886080801e-14 0))",PA,15,55.94,59.23,51.1,55.72,44.75,35.12,36.08,14.06,20.97,19.55,47.07,52.12,5,5,5,5,4,3,3,1,2,1,4,5,55.68,5,50.97,5,29.8,2,30.88,3,33.33,28.0,35.48,35.71,45.45,47.37,41.67,81.25,76.47,66.67,34.78,37.04
